question_id,recipe_A_id,recipe_A_name,recipe_A_picture,recipe_B_id,recipe_B_name,recipe_B_picture,correct_answer
1,14542,Spicy Burgers,pictures/recipes_14500_14599/recipe_14542.png,15199,Oven Baked Herb Chicken,pictures/recipes_15100_15199/recipe_15199.png,1
2,15856,Caramel Popcorn Balls,pictures/recipes_15800_15899/recipe_15856.png,10014,Hazelnut Biscotti,pictures/recipes_10000_10099/recipe_10014.png,2
3,14001,Pineapple Fried Rice,pictures/recipes_14000_14099/recipe_14001.png,14733,Spiced Apple-Kraut Pork,pictures/recipes_14700_14799/recipe_14733.png,2
4,12448,French Silk Chocolate Pie I,pictures/recipes_12400_12499/recipe_12448.png,15661,Lemon Pineapple Pie,pictures/recipes_15600_15699/recipe_15661.png,1
5,15331,Jacksonville Crisps,pictures/recipes_15300_15399/recipe_15331.png,14176,Cucumber and Tomato Salad,pictures/recipes_14100_14199/recipe_14176.png,1
6,15939,Miracle Baking Powder Pie Crust,pictures/recipes_15900_15999/recipe_15939.png,15837,Old Fashioned Apple Cream Pie,pictures/recipes_15800_15899/recipe_15837.png,2
7,11924,Turkey Lasagna,pictures/recipes_11900_11999/recipe_11924.png,16891,Grilled Zucchini and Squash,pictures/recipes_16800_16899/recipe_16891.png,1
8,15325,French Silk Frosting,pictures/recipes_15300_15399/recipe_15325.png,13282,Mushroom and Artichoke Soup,pictures/recipes_13200_13299/recipe_13282.png,1
9,14842,Stuffed Cherry Peppers,pictures/recipes_14800_14899/recipe_14842.png,12419,Apple Crumble Tart,pictures/recipes_12400_12499/recipe_12419.png,2
10,15650,Slow Cooker Adobo Chicken,pictures/recipes_15600_15699/recipe_15650.png,15721,Fresh Apple Cake I,pictures/recipes_15700_15799/recipe_15721.png,1
